mask,tp,fp,fn,tn,precision,recall,f1,iou,gt_positive_fraction,pred_positive_fraction
mask_81.h5,209,21,83,16071,0.908695652173913,0.7157534246575342,0.8007662835249042,0.6677316293929713,0.017822265625,0.0140380859375
mask_83.h5,492,205,146,15541,0.7058823529411765,0.7711598746081505,0.7370786516853932,0.5836298932384342,0.0389404296875,0.04254150390625
mask_85.h5,4,44,8,16328,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.07142857142857142,0.000732421875,0.0029296875
mask_87.h5,0,891,0,15493,0.0,,0.0,0.0,0.0,0.05438232421875
mask_89.h5,285,107,34,15958,0.7270408163265306,0.8934169278996865,0.8016877637130801,0.6690140845070423,0.01947021484375,0.02392578125
mask_90.h5,30,32,40,16282,0.4838709677419355,0.42857142857142855,0.45454545454545453,0.29411764705882354,0.0042724609375,0.0037841796875
mask_91.h5,0,26,0,16358,0.0,,0.0,0.0,0.0,0.0015869140625
mask_92.h5,4,24,4,16352,0.14285714285714285,0.5,0.2222222222222222,0.125,0.00048828125,0.001708984375
mask_93.h5,1272,11,8829,6272,0.9914263445050663,0.12592812592812594,0.22347153900210823,0.12579113924050633,0.61651611328125,0.07830810546875
mask_94.h5,652,563,134,15035,0.5366255144032922,0.8295165394402035,0.6516741629185407,0.48332097850259453,0.0479736328125,0.07415771484375
mask_95.h5,228,79,126,15951,0.742671009771987,0.6440677966101694,0.6898638426626323,0.5265588914549654,0.0216064453125,0.01873779296875
mask_96.h5,263,356,107,15658,0.42487883683360256,0.7108108108108108,0.531850353892821,0.3622589531680441,0.0225830078125,0.03778076171875
mask_98.h5,246,212,74,15852,0.537117903930131,0.76875,0.6323907455012854,0.462406015037594,0.01953125,0.0279541015625
mask_99.h5,70,28,110,16176,0.7142857142857143,0.3888888888888889,0.5035971223021583,0.33653846153846156,0.010986328125,0.0059814453125
mask_100.h5,26,31,1,16326,0.45614035087719296,0.9629629629629629,0.6190476190476191,0.4482758620689655,0.00164794921875,0.00347900390625
mask_103.h5,0,11,0,16373,0.0,,0.0,0.0,0.0,0.00067138671875
mask_105.h5,839,162,98,15285,0.8381618381618382,0.8954108858057631,0.8658410732714138,0.7634212920837125,0.05718994140625,0.06109619140625
mask_106.h5,0,22,0,16362,0.0,,0.0,0.0,0.0,0.0013427734375
mask_107.h5,158,79,7,16140,0.6666666666666666,0.9575757575757575,0.7860696517412935,0.6475409836065574,0.01007080078125,0.01446533203125
mask_108.h5,0,0,125,16259,,0.0,0.0,0.0,0.00762939453125,0.0
mask_109.h5,201,132,179,15872,0.6036036036036037,0.5289473684210526,0.5638148667601683,0.392578125,0.023193359375,0.02032470703125
mask_110.h5,45,76,3,16260,0.371900826446281,0.9375,0.5325443786982249,0.3629032258064516,0.0029296875,0.00738525390625
mask_111.h5,0,38,0,16346,0.0,,0.0,0.0,0.0,0.0023193359375
mask_112.h5,0,38,0,16346,0.0,,0.0,0.0,0.0,0.0023193359375
mask_113.h5,39,319,15,16011,0.10893854748603352,0.7222222222222222,0.18932038834951456,0.10455764075067024,0.0032958984375,0.0218505859375
mask_114.h5,174,204,53,15953,0.4603174603174603,0.7665198237885462,0.5752066115702479,0.4037122969837587,0.01385498046875,0.0230712890625
mask_115.h5,0,14,0,16370,0.0,,0.0,0.0,0.0,0.0008544921875
mask_116.h5,57,55,39,16233,0.5089285714285714,0.59375,0.5480769230769231,0.37748344370860926,0.005859375,0.0068359375
mask_117.h5,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05
mask_119.h5,474,40,374,15496,0.9221789883268483,0.5589622641509434,0.6960352422907489,0.5337837837837838,0.0517578125,0.0313720703125
mask_120.h5,75,14,67,16228,0.8426966292134831,0.528169014084507,0.6493506493506493,0.4807692307692308,0.0086669921875,0.00543212890625
mask_121.h5,11,19,13,16341,0.36666666666666664,0.4583333333333333,0.4074074074074074,0.2558139534883721,0.00146484375,0.0018310546875
mask_122.h5,0,5,0,16379,0.0,,0.0,0.0,0.0,0.00030517578125
mask_123.h5,21,239,5,16119,0.08076923076923077,0.8076923076923077,0.14685314685314685,0.07924528301886792,0.0015869140625,0.015869140625
mask_124.h5,300,226,37,15821,0.5703422053231939,0.8902077151335311,0.6952491309385863,0.5328596802841918,0.02056884765625,0.0321044921875
mask_125.h5,7,12,16,16349,0.3684210526315789,0.30434782608695654,0.3333333333333333,0.2,0.00140380859375,0.00115966796875
mask_126.h5,52,7,66,16259,0.8813559322033898,0.4406779661016949,0.5875706214689266,0.416,0.0072021484375,0.00360107421875
mask_128.h5,1162,203,700,14319,0.8512820512820513,0.6240601503759399,0.720173535791757,0.5627118644067797,0.1136474609375,0.08331298828125
mask_129.h5,163,46,74,16101,0.7799043062200957,0.6877637130801688,0.7309417040358744,0.5759717314487632,0.01446533203125,0.01275634765625
mask_130.h5,0,0,111,16273,,0.0,0.0,0.0,0.00677490234375,0.0
mask_131.h5,0,3,0,16381,0.0,,0.0,0.0,0.0,0.00018310546875
mask_132.h5,32,14,88,16250,0.6956521739130435,0.26666666666666666,0.3855421686746988,0.23880597014925373,0.00732421875,0.0028076171875
mask_133.h5,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05
mask_134.h5,290,142,64,15888,0.6712962962962963,0.8192090395480226,0.7379134860050891,0.5846774193548387,0.0216064453125,0.0263671875
mask_135.h5,97,20,31,16236,0.8290598290598291,0.7578125,0.7918367346938775,0.6554054054054054,0.0078125,0.00714111328125
mask_137.h5,84,78,27,16195,0.5185185185185185,0.7567567567567568,0.6153846153846154,0.4444444444444444,0.00677490234375,0.0098876953125
mask_139.h5,189,446,237,15512,0.29763779527559053,0.44366197183098594,0.35626767200754006,0.21674311926605505,0.0260009765625,0.03875732421875
mask_140.h5,0,65,0,16319,0.0,,0.0,0.0,0.0,0.00396728515625
mask_141.h5,48,3,58,16275,0.9411764705882353,0.4528301886792453,0.6114649681528662,0.44036697247706424,0.0064697265625,0.00311279296875
mask_142.h5,0,43,0,16341,0.0,,0.0,0.0,0.0,0.00262451171875
mask_143.h5,66,60,30,16228,0.5238095238095238,0.6875,0.5945945945945946,0.4230769230769231,0.005859375,0.0076904296875
mask_144.h5,0,136,0,16248,0.0,,0.0,0.0,0.0,0.00830078125
mask_145.h5,0,156,0,16228,0.0,,0.0,0.0,0.0,0.009521484375
mask_146.h5,0,1163,0,15221,0.0,,0.0,0.0,0.0,0.07098388671875
mask_147.h5,149,43,6,16186,0.7760416666666666,0.9612903225806452,0.8587896253602305,0.7525252525252525,0.00946044921875,0.01171875
mask_148.h5,0,8,0,16376,0.0,,0.0,0.0,0.0,0.00048828125
mask_149.h5,0,28,0,16356,0.0,,0.0,0.0,0.0,0.001708984375
mask_150.h5,28,12,16,16328,0.7,0.6363636363636364,0.6666666666666666,0.5,0.002685546875,0.00244140625
mask_151.h5,0,4,11,16369,0.0,0.0,0.0,0.0,0.00067138671875,0.000244140625
mask_152.h5,7208,1051,749,7376,0.8727448843685677,0.9058690461229106,0.8889985199802664,0.8001776198934281,0.48565673828125,0.50408935546875
mask_153.h5,24,19,4,16337,0.5581395348837209,0.8571428571428571,0.676056338028169,0.5106382978723404,0.001708984375,0.00262451171875
mask_154.h5,0,147,0,16237,0.0,,0.0,0.0,0.0,0.00897216796875
mask_155.h5,72,118,27,16167,0.37894736842105264,0.7272727272727273,0.4982698961937716,0.3317972350230415,0.00604248046875,0.0115966796875
mask_156.h5,31,120,9,16224,0.2052980132450331,0.775,0.32460732984293195,0.19375,0.00244140625,0.00921630859375
mask_157.h5,0,169,0,16215,0.0,,0.0,0.0,0.0,0.01031494140625
mask_158.h5,0,0,167,16217,,0.0,0.0,0.0,0.01019287109375,0.0
mask_159.h5,189,56,118,16021,0.7714285714285715,0.6156351791530945,0.6847826086956522,0.5206611570247934,0.01873779296875,0.01495361328125
mask_160.h5,0,0,23,16361,,0.0,0.0,0.0,0.00140380859375,0.0
mask_161.h5,105,105,87,16087,0.5,0.546875,0.5223880597014925,0.35353535353535354,0.01171875,0.0128173828125
mask_162.h5,0,476,0,15908,0.0,,0.0,0.0,0.0,0.029052734375
mask_163.h5,29,52,15,16288,0.35802469135802467,0.6590909090909091,0.464,0.3020833333333333,0.002685546875,0.00494384765625
mask_164.h5,0,30,0,16354,0.0,,0.0,0.0,0.0,0.0018310546875
mask_165.h5,100,63,119,16102,0.6134969325153374,0.45662100456621,0.5235602094240838,0.3546099290780142,0.01336669921875,0.00994873046875
mask_166.h5,0,166,0,16218,0.0,,0.0,0.0,0.0,0.0101318359375
mask_167.h5,2270,218,99,13797,0.912379421221865,0.9582102152807092,0.934733374511015,0.8774642442984152,0.14459228515625,0.15185546875
mask_168.h5,0,125,0,16259,0.0,,0.0,0.0,0.0,0.00762939453125
mask_169.h5,307,65,20,15992,0.8252688172043011,0.9388379204892966,0.8783977110157367,0.7831632653061225,0.01995849609375,0.022705078125
mask_171.h5,0,144,0,16240,0.0,,0.0,0.0,0.0,0.0087890625
mask_172.h5,289,221,29,15845,0.5666666666666667,0.9088050314465409,0.6980676328502415,0.536178107606679,0.0194091796875,0.0311279296875
mask_173.h5,0,4,0,16380,0.0,,0.0,0.0,0.0,0.000244140625
mask_174.h5,7,5,4,16368,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.4375,0.00067138671875,0.000732421875
mask_175.h5,8,386,2,15988,0.02030456852791878,0.8,0.039603960396039604,0.020202020202020204,0.0006103515625,0.0240478515625
mask_176.h5,0,169,0,16215,0.0,,0.0,0.0,0.0,0.01031494140625
mask_177.h5,192,288,73,15831,0.4,0.7245283018867924,0.5154362416107383,0.3471971066907776,0.01617431640625,0.029296875
mask_178.h5,795,362,166,15061,0.6871218668971478,0.8272632674297606,0.7507082152974505,0.6009070294784581,0.05865478515625,0.07061767578125
mask_179.h5,152,183,27,16022,0.4537313432835821,0.8491620111731844,0.5914396887159533,0.4198895027624309,0.01092529296875,0.02044677734375
mask_180.h5,46,43,31,16264,0.5168539325842697,0.5974025974025974,0.5542168674698795,0.38333333333333336,0.00469970703125,0.00543212890625
mask_181.h5,271,100,161,15852,0.7304582210242587,0.6273148148148148,0.6749688667496887,0.5093984962406015,0.0263671875,0.02264404296875
mask_182.h5,0,649,0,15735,0.0,,0.0,0.0,0.0,0.03961181640625
mask_183.h5,0,157,0,16227,0.0,,0.0,0.0,0.0,0.00958251953125
mask_184.h5,0,47,0,16337,0.0,,0.0,0.0,0.0,0.00286865234375
mask_185.h5,235,278,14,15857,0.4580896686159844,0.9437751004016064,0.6167979002624672,0.4459203036053131,0.01519775390625,0.03131103515625
mask_186.h5,8,70,0,16306,0.10256410256410256,1.0,0.18604651162790697,0.10256410256410256,0.00048828125,0.0047607421875
mask_187.h5,253,310,19,15802,0.4493783303730018,0.9301470588235294,0.6059880239520958,0.43470790378006874,0.0166015625,0.03436279296875
mask_188.h5,86,594,24,15680,0.1264705882352941,0.7818181818181819,0.21772151898734177,0.12215909090909091,0.0067138671875,0.04150390625
mask_189.h5,889,153,323,15019,0.8531669865642995,0.7334983498349835,0.7888198757763976,0.6512820512820513,0.073974609375,0.0635986328125
mask_190.h5,0,0,78,16306,,0.0,0.0,0.0,0.0047607421875,0.0
mask_191.h5,0,1,0,16383,0.0,,0.0,0.0,0.0,6.103515625e-05
mask_194.h5,0,2,0,16382,0.0,,0.0,0.0,0.0,0.0001220703125
mask_195.h5,0,7,0,16377,0.0,,0.0,0.0,0.0,0.00042724609375
mask_196.h5,117,56,69,16142,0.6763005780346821,0.6290322580645161,0.6518105849582173,0.4834710743801653,0.0113525390625,0.01055908203125
mask_197.h5,51,20,290,16023,0.7183098591549296,0.1495601173020528,0.24757281553398058,0.14127423822714683,0.02081298828125,0.00433349609375
mask_198.h5,0,743,0,15641,0.0,,0.0,0.0,0.0,0.04534912109375
mask_199.h5,150,493,11,15730,0.2332814930015552,0.9316770186335404,0.373134328358209,0.22935779816513763,0.00982666015625,0.03924560546875
mask_200.h5,7,17,5,16355,0.2916666666666667,0.5833333333333334,0.3888888888888889,0.2413793103448276,0.000732421875,0.00146484375
mask_201.h5,153,370,81,15780,0.2925430210325048,0.6538461538461539,0.404227212681638,0.2533112582781457,0.0142822265625,0.03192138671875
mask_202.h5,0,144,0,16240,0.0,,0.0,0.0,0.0,0.0087890625
mask_204.h5,0,9,17,16358,0.0,0.0,0.0,0.0,0.00103759765625,0.00054931640625
mask_205.h5,512,64,251,15557,0.8888888888888888,0.6710353866317169,0.7647498132935027,0.619105199516324,0.04656982421875,0.03515625
mask_207.h5,0,7,0,16377,0.0,,0.0,0.0,0.0,0.00042724609375
mask_208.h5,0,1223,0,15161,0.0,,0.0,0.0,0.0,0.07464599609375
mask_210.h5,306,137,37,15904,0.690744920993228,0.892128279883382,0.7786259541984732,0.6375,0.02093505859375,0.02703857421875
mask_212.h5,92,153,27,16112,0.37551020408163266,0.773109243697479,0.5054945054945055,0.3382352941176471,0.00726318359375,0.01495361328125
mask_213.h5,0,33,0,16351,0.0,,0.0,0.0,0.0,0.00201416015625
mask_214.h5,556,143,153,15532,0.7954220314735336,0.7842031029619182,0.7897727272727273,0.6525821596244131,0.04327392578125,0.04266357421875
mask_215.h5,0,465,0,15919,0.0,,0.0,0.0,0.0,0.02838134765625
mask_216.h5,0,232,0,16152,0.0,,0.0,0.0,0.0,0.01416015625
mask_217.h5,233,134,151,15866,0.6348773841961853,0.6067708333333334,0.6205059920106525,0.4498069498069498,0.0234375,0.02239990234375
mask_218.h5,79,57,18,16230,0.5808823529411765,0.8144329896907216,0.6781115879828327,0.512987012987013,0.00592041015625,0.00830078125
mask_219.h5,40,30,19,16295,0.5714285714285714,0.6779661016949152,0.6201550387596899,0.449438202247191,0.00360107421875,0.0042724609375
mask_220.h5,0,856,0,15528,0.0,,0.0,0.0,0.0,0.05224609375
mask_221.h5,0,15,0,16369,0.0,,0.0,0.0,0.0,0.00091552734375
mask_222.h5,0,391,0,15993,0.0,,0.0,0.0,0.0,0.02386474609375
mask_223.h5,1861,406,131,13986,0.8209086898985444,0.9342369477911646,0.8739140643343508,0.7760633861551293,0.12158203125,0.13836669921875
mask_224.h5,329,372,41,15642,0.4693295292439372,0.8891891891891892,0.6143790849673203,0.44339622641509435,0.0225830078125,0.04278564453125
mask_225.h5,0,0,544,15840,,0.0,0.0,0.0,0.033203125,0.0
mask_226.h5,0,273,0,16111,0.0,,0.0,0.0,0.0,0.01666259765625
mask_227.h5,0,5,0,16379,0.0,,0.0,0.0,0.0,0.00030517578125
mask_229.h5,583,707,61,15033,0.45193798449612405,0.90527950310559,0.6028955532574974,0.43153219837157664,0.039306640625,0.0787353515625
mask_230.h5,1,37,18,16328,0.02631578947368421,0.05263157894736842,0.03508771929824561,0.017857142857142856,0.00115966796875,0.0023193359375
mask_231.h5,38,18,9,16319,0.6785714285714286,0.8085106382978723,0.7378640776699029,0.5846153846153846,0.00286865234375,0.00341796875
mask_232.h5,251,76,14,16043,0.7675840978593272,0.9471698113207547,0.847972972972973,0.7360703812316716,0.01617431640625,0.01995849609375
mask_233.h5,222,301,37,15824,0.42447418738049714,0.8571428571428571,0.5677749360613811,0.3964285714285714,0.01580810546875,0.03192138671875
mask_234.h5,15,16,24,16329,0.4838709677419355,0.38461538461538464,0.42857142857142855,0.2727272727272727,0.00238037109375,0.00189208984375
mask_235.h5,164,73,45,16102,0.6919831223628692,0.784688995215311,0.7354260089686099,0.5815602836879432,0.01275634765625,0.01446533203125
mask_236.h5,101,398,39,15846,0.20240480961923848,0.7214285714285714,0.3161189358372457,0.18773234200743494,0.008544921875,0.03045654296875
mask_237.h5,0,1392,0,14992,0.0,,0.0,0.0,0.0,0.0849609375
mask_239.h5,428,275,24,15657,0.6088193456614509,0.9469026548672567,0.7411255411255411,0.5887207702888583,0.027587890625,0.04290771484375
mask_240.h5,26,18,2,16338,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.5652173913043478,0.001708984375,0.002685546875
mask_241.h5,387,1225,17,14755,0.2400744416873449,0.9579207920792079,0.38392857142857145,0.23756906077348067,0.024658203125,0.098388671875
mask_242.h5,76,190,11,16107,0.2857142857142857,0.8735632183908046,0.43059490084985835,0.2743682310469314,0.00531005859375,0.0162353515625
mask_243.h5,78,373,44,15889,0.1729490022172949,0.639344262295082,0.27225130890052357,0.15757575757575756,0.0074462890625,0.02752685546875
mask_244.h5,358,255,50,15721,0.5840130505709625,0.8774509803921569,0.7012732615083251,0.5399698340874811,0.02490234375,0.03741455078125
mask_245.h5,96,303,27,15958,0.24060150375939848,0.7804878048780488,0.367816091954023,0.22535211267605634,0.00750732421875,0.02435302734375
