tile_name,split,component_id,patch_count,positive_patch_count,negative_patch_count,positive_interior_count,positive_boundary_count,hard_negative_count,unique_polygon_ids
USGS_LPC_OR_WesternWildfires_A22_s04590w13860.laz,test,C004,64,24,40,15,9,28,9
USGS_LPC_OR_WesternWildfires_A22_s04620w13830.laz,test,C004,58,18,40,15,3,40,6
USGS_LPC_OR_WesternWildfires_A22_s04620w13860.laz,test,C004,53,13,40,8,5,40,5
USGS_LPC_OR_WesternWildfires_A22_s04620w13980.laz,train,C020,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04680w13770.laz,train,C012,95,55,40,46,9,40,7
USGS_LPC_OR_WesternWildfires_A22_s04710w13410.laz,train,C013,60,20,40,14,6,28,8
USGS_LPC_OR_WesternWildfires_A22_s04710w13440.laz,train,C013,32,20,12,13,7,12,9
USGS_LPC_OR_WesternWildfires_A22_s04710w13770.laz,train,C012,68,28,40,20,8,40,5
USGS_LPC_OR_WesternWildfires_A22_s04710w13950.laz,validation,C021,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04770w14370.laz,train,C022,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04800w13620.laz,validation,C006,52,12,40,4,8,40,6
USGS_LPC_OR_WesternWildfires_A22_s04800w13650.laz,validation,C006,46,6,40,4,2,40,10
USGS_LPC_OR_WesternWildfires_A22_s04800w14460.laz,test,C007,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04800w14520.laz,test,C007,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04800w14550.laz,test,C007,40,0,40,0,0,35,0
USGS_LPC_OR_WesternWildfires_A22_s04830w13590.laz,validation,C006,58,18,40,15,3,28,5
USGS_LPC_OR_WesternWildfires_A22_s04830w13620.laz,validation,C006,40,5,35,2,3,35,6
USGS_LPC_OR_WesternWildfires_A22_s04830w13710.laz,validation,C008,44,11,33,5,6,33,6
USGS_LPC_OR_WesternWildfires_A22_s04830w13830.laz,train,C023,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04830w13950.laz,train,C024,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04830w14490.laz,test,C007,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04860w13440.laz,train,C025,1,0,1,0,0,1,0
USGS_LPC_OR_WesternWildfires_A22_s04860w13710.laz,validation,C008,96,64,32,56,8,32,10
USGS_LPC_OR_WesternWildfires_A22_s04860w13740.laz,validation,C008,25,0,25,0,0,25,5
USGS_LPC_OR_WesternWildfires_A22_s04860w14220.laz,train,C026,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04890w13680.laz,validation,C008,76,36,40,31,5,40,5
USGS_LPC_OR_WesternWildfires_A22_s04920w13590.laz,train,C027,46,37,9,28,9,9,6
USGS_LPC_OR_WesternWildfires_A22_s04950w14070.laz,train,C028,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04980w13440.laz,train,C029,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s04980w13770.laz,validation,C014,83,43,40,35,8,40,5
USGS_LPC_OR_WesternWildfires_A22_s04980w13800.laz,validation,C014,53,13,40,9,4,40,6
USGS_LPC_OR_WesternWildfires_A22_s05040w13770.laz,train,C030,64,24,40,17,7,28,5
USGS_LPC_OR_WesternWildfires_A22_s05070w14400.laz,train,C031,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05100w13860.laz,train,C032,77,50,27,45,5,27,8
USGS_LPC_OR_WesternWildfires_A22_s05130w13320.laz,test,C033,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05130w13560.laz,train,C034,67,27,40,16,11,28,6
USGS_LPC_OR_WesternWildfires_A22_s05130w13980.laz,train,C001,66,26,40,19,7,40,6
USGS_LPC_OR_WesternWildfires_A22_s05160w13800.laz,validation,C015,52,33,19,28,5,19,7
USGS_LPC_OR_WesternWildfires_A22_s05160w13830.laz,validation,C015,51,17,34,13,4,34,7
USGS_LPC_OR_WesternWildfires_A22_s05160w13950.laz,train,C001,77,39,38,30,9,38,6
USGS_LPC_OR_WesternWildfires_A22_s05160w14010.laz,train,C001,90,50,40,40,10,40,5
USGS_LPC_OR_WesternWildfires_A22_s05160w14040.laz,train,C001,155,115,40,98,17,40,13
USGS_LPC_OR_WesternWildfires_A22_s05160w14070.laz,train,C001,178,138,40,117,21,40,13
USGS_LPC_OR_WesternWildfires_A22_s05160w14370.laz,train,C035,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05190w14010.laz,train,C001,104,64,40,53,11,40,6
USGS_LPC_OR_WesternWildfires_A22_s05190w14040.laz,train,C001,105,65,40,43,22,40,12
USGS_LPC_OR_WesternWildfires_A22_s05190w14070.laz,train,C001,139,99,40,80,19,40,12
USGS_LPC_OR_WesternWildfires_A22_s05190w14280.laz,train,C036,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05220w14010.laz,train,C001,111,71,40,55,16,40,7
USGS_LPC_OR_WesternWildfires_A22_s05220w14040.laz,train,C001,111,86,25,74,12,25,14
USGS_LPC_OR_WesternWildfires_A22_s05220w14070.laz,train,C001,98,58,40,44,14,40,11
USGS_LPC_OR_WesternWildfires_A22_s05250w13320.laz,train,C037,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05250w14040.laz,train,C001,106,66,40,53,13,38,8
USGS_LPC_OR_WesternWildfires_A22_s05250w14100.laz,train,C001,71,31,40,16,15,40,8
USGS_LPC_OR_WesternWildfires_A22_s05250w14130.laz,train,C001,142,102,40,84,18,40,9
USGS_LPC_OR_WesternWildfires_A22_s05250w14310.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05250w14340.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05280w13470.laz,train,C038,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05280w13890.laz,train,C039,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05280w14070.laz,train,C001,63,23,40,14,9,40,9
USGS_LPC_OR_WesternWildfires_A22_s05280w14100.laz,train,C001,89,49,40,36,13,28,9
USGS_LPC_OR_WesternWildfires_A22_s05280w14190.laz,test,C016,166,126,40,114,12,40,6
USGS_LPC_OR_WesternWildfires_A22_s05280w14340.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05280w14370.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w13800.laz,train,C040,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w13950.laz,train,C041,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14100.laz,train,C001,152,112,40,101,11,40,4
USGS_LPC_OR_WesternWildfires_A22_s05310w14160.laz,test,C016,147,127,20,115,12,20,7
USGS_LPC_OR_WesternWildfires_A22_s05310w14250.laz,train,C042,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14340.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14370.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14400.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14430.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14460.laz,train,C002,40,0,40,0,0,40,0
USGS_LPC_OR_WesternWildfires_A22_s05310w14520.laz,train,C043,40,0,40,0,0,40,0
